datetime,temp
2010-12-01,0.2
2010-12-02,-0.4
2010-12-03,-2.3
2010-12-04,4.2
2010-12-05,2.5
2010-12-06,-1.3
2010-12-07,0.3
2010-12-08,1.1
2010-12-09,1.4
2010-12-10,4.9
2010-12-11,7.4
2010-12-12,4.8
2010-12-13,3.2
2010-12-14,4.2
2010-12-15,3.2
2010-12-16,4.1
2010-12-17,-2.0
2010-12-18,-1.6
2010-12-19,-0.9
2010-12-20,-1.3
2010-12-21,1.8
2010-12-22,2.0
2010-12-23,1.8
2010-12-24,1.4
2010-12-25,-1.0
2010-12-26,-0.9
2010-12-27,3.8
2010-12-28,5.1
2010-12-29,7.9
2010-12-30,6.5
2010-12-31,6.6
2011-01-01,6.0
2011-01-02,3.5
2011-01-03,2.6
2011-01-04,3.8
2011-01-05,6.0
2011-01-06,4.7
2011-01-07,6.5
2011-01-08,7.7
2011-01-09,3.7
2011-01-10,5.3
2011-01-11,5.9
2011-01-12,9.3
2011-01-13,12.3
2011-01-14,10.8
2011-01-15,10.5
2011-01-16,11.3
2011-01-17,8.0
2011-01-18,5.7
2011-01-19,3.9
2011-01-20,5.1
2011-01-21,3.1
2011-01-22,4.8
2011-01-23,7.1
2011-01-24,6.5
2011-01-25,6.6
2011-01-26,6.2
2011-01-27,2.7
2011-01-28,1.5
2011-01-29,1.7
2011-01-30,2.8
2011-01-31,2.4
2011-02-01,3.7
2011-02-02,6.7
2011-02-03,7.7
2011-02-04,11.1
2011-02-05,12.1
2011-02-06,10.9
2011-02-07,9.3
2011-02-08,5.8
2011-02-09,8.4
2011-02-10,9.6
2011-02-11,10.4
2011-02-12,9.1
2011-02-13,7.6
2011-02-14,6.9
2011-02-15,6.1
2011-02-16,7.2
2011-02-17,6.7
2011-02-18,5.2
2011-02-19,5.3
2011-02-20,5.1
2011-02-21,5.7
2011-02-22,6.0
2011-02-23,8.5
2011-02-24,10.8
2011-02-25,11.1
2011-02-26,9.1
2011-02-27,5.9
2011-02-28,4.6
2011-03-01,4.4
2011-03-02,4.5
2011-03-03,2.7
2011-03-04,3.8
2011-03-05,4.4
2011-03-06,4.9
2011-03-07,4.8
2011-03-08,5.4
2011-03-09,7.8
2011-03-10,9.5
2011-03-11,8.3
2011-03-12,10.1
2011-03-13,9.6
2011-03-14,7.5
2011-03-15,8.8
2011-03-16,8.5
2011-03-17,6.2
2011-03-18,6.5
2011-03-19,6.2
2011-03-20,7.8
2011-03-21,9.5
2011-03-22,11.8
2011-03-23,11.5
2011-03-24,10.2
2011-03-25,11.4
2011-03-26,9.6
2011-03-27,9.8
2011-03-28,9.9
2011-03-29,10.1
2011-03-30,10.7
2011-03-31,13.2
2011-04-01,13.6
2011-04-02,15.1
2011-04-03,11.4
2011-04-04,10.0
2011-04-05,11.0
2011-04-06,16.8
2011-04-07,15.4
2011-04-08,15.6
2011-04-09,13.0
2011-04-10,12.6
2011-04-11,13.1
2011-04-12,10.7
2011-04-13,9.0
2011-04-14,10.7
2011-04-15,12.6
2011-04-16,13.4
2011-04-17,13.9
2011-04-18,13.2
2011-04-19,17.0
2011-04-20,17.3
2011-04-21,17.9
2011-04-22,18.2
2011-04-23,18.6
2011-04-24,17.3
2011-04-25,15.2
2011-04-26,12.1
2011-04-27,12.1
2011-04-28,11.2
2011-04-29,14.2
2011-04-30,15.6
2011-05-01,14.8
2011-05-02,12.3
2011-05-03,10.4
2011-05-04,10.9
2011-05-05,13.4
2011-05-06,17.6
2011-05-07,18.6
2011-05-08,17.1
2011-05-09,16.0
2011-05-10,16.1
2011-05-11,14.0
2011-05-12,13.9
2011-05-13,13.8
2011-05-14,12.9
2011-05-15,12.6
2011-05-16,15.0
2011-05-17,14.5
2011-05-18,15.0
2011-05-19,14.1
2011-05-20,14.8
2011-05-21,15.6
2011-05-22,14.8
2011-05-23,14.1
2011-05-24,13.7
2011-05-25,14.7
2011-05-26,13.4
2011-05-27,12.9
2011-05-28,12.9
2011-05-29,16.0
2011-05-30,15.0
2011-05-31,12.7
2011-06-01,14.8
2011-06-02,18.1
2011-06-03,19.1
2011-06-04,19.1
2011-06-05,15.0
2011-06-06,12.3
2011-06-07,14.7
2011-06-08,13.5
2011-06-09,13.5
2011-06-10,11.7
2011-06-11,12.7
2011-06-12,11.7
2011-06-13,17.5
2011-06-14,16.9
2011-06-15,17.0
2011-06-16,14.2
2011-06-17,12.6
2011-06-18,13.9
2011-06-19,15.1
2011-06-20,15.2
2011-06-21,17.2
2011-06-22,15.0
2011-06-23,15.3
2011-06-24,14.9
2011-06-25,17.5
2011-06-26,21.9
2011-06-27,25.2
2011-06-28,19.1
2011-06-29,16.9
2011-06-30,15.8
2011-07-01,16.5
2011-07-02,17.5
2011-07-03,18.2
2011-07-04,20.0
2011-07-05,18.6
2011-07-06,16.4
2011-07-07,15.8
2011-07-08,15.6
2011-07-09,17.0
2011-07-10,17.3
2011-07-11,18.8
2011-07-12,17.4
2011-07-13,15.4
2011-07-14,17.6
2011-07-15,18.2
2011-07-16,16.2
2011-07-17,15.6
2011-07-18,15.3
2011-07-19,15.1
2011-07-20,15.5
2011-07-21,15.4
2011-07-22,15.9
2011-07-23,15.3
2011-07-24,17.3
2011-07-25,18.0
2011-07-26,17.0
2011-07-27,17.3
2011-07-28,19.0
2011-07-29,17.4
2011-07-30,16.6
2011-07-31,18.4
2011-08-01,21.7
2011-08-02,22.5
2011-08-03,22.3
2011-08-04,18.4
2011-08-05,19.4
2011-08-06,17.0
2011-08-07,15.3
2011-08-08,16.5
2011-08-09,16.7
2011-08-10,17.1
2011-08-11,18.0
2011-08-12,18.9
2011-08-13,18.5
2011-08-14,18.2
2011-08-15,17.1
2011-08-16,17.4
2011-08-17,16.7
2011-08-18,14.7
2011-08-19,15.7
2011-08-20,17.0
2011-08-21,18.9
2011-08-22,17.6
2011-08-23,15.6
2011-08-24,16.6
2011-08-25,16.3
2011-08-26,14.5
2011-08-27,14.2
2011-08-28,15.0
2011-08-29,14.3
2011-08-30,14.8
2011-08-31,15.7
2011-09-01,15.7
2011-09-02,19.2
2011-09-03,18.6
2011-09-04,16.9
2011-09-05,15.3
2011-09-06,16.1
2011-09-07,14.4
2011-09-08,16.1
2011-09-09,18.6
2011-09-10,19.5
2011-09-11,16.9
2011-09-12,18.4
2011-09-13,15.1
2011-09-14,14.1
2011-09-15,14.2
2011-09-16,17.0
2011-09-17,14.5
2011-09-18,11.6
2011-09-19,14.0
2011-09-20,16.8
2011-09-21,15.3
2011-09-22,15.2
2011-09-23,13.9
2011-09-24,14.6
2011-09-25,16.7
2011-09-26,18.0
2011-09-27,16.0
2011-09-28,19.1
2011-09-29,20.2
2011-09-30,19.8
2011-10-01,20.0
2011-10-02,19.7
2011-10-03,20.0
2011-10-04,17.2
2011-10-05,17.5
2011-10-06,13.9
2011-10-07,12.3
2011-10-08,12.5
2011-10-09,17.1
2011-10-10,17.6
2011-10-11,17.0
2011-10-12,16.6
2011-10-13,15.2
2011-10-14,12.9
2011-10-15,11.6
2011-10-16,10.2
2011-10-17,12.7
2011-10-18,10.8
2011-10-19,8.2
2011-10-20,7.3
2011-10-21,10.3
2011-10-22,10.5
2011-10-23,14.3
2011-10-24,14.1
2011-10-25,13.4
2011-10-26,9.9
2011-10-27,12.5
2011-10-28,12.9
2011-10-29,13.9
2011-10-30,15.5
2011-10-31,15.1
2011-11-01,13.2
2011-11-02,12.7
2011-11-03,15.6
2011-11-04,13.7
2011-11-05,12.6
2011-11-06,11.1
2011-11-07,11.7
2011-11-08,10.6
2011-11-09,12.0
2011-11-10,12.0
2011-11-11,10.3
2011-11-12,13.7
2011-11-13,12.4
2011-11-14,9.4
2011-11-15,9.2
2011-11-16,6.8
2011-11-17,11.0
2011-11-18,11.5
2011-11-19,9.8
2011-11-20,7.7
2011-11-21,9.3
2011-11-22,11.2
2011-11-23,7.8
2011-11-24,10.6
2011-11-25,11.1
2011-11-26,10.3
2011-11-27,11.2
2011-11-28,7.0
2011-11-29,12.0
2011-11-30,9.3
2011-12-01,10.0
2011-12-02,6.0
2011-12-03,10.4
2011-12-04,8.0
2011-12-05,4.8
2011-12-06,5.0
2011-12-07,7.7
2011-12-08,9.3
2011-12-09,5.5
